team,name,role,age,batting_style,bowling_style,image_url
West Indies,Johnson Charles,Wicketkeeper Batter,35y 110d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/25890.png
West Indies,Kyle Mayers,Batting Allrounder,31y 238d,Left hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57792.png
West Indies,Nicholas Pooran,Wicketkeeper Batter,28y 214d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63726.png
West Indies,Obed McCoy,Bowler,27y 120d,Left hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66028.png
West Indies,Romario Shepherd,Bowling Allrounder,29y 159d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66243.png
West Indies,Roston Chase,Allrounder,32y 42d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58071.png
West Indies,Rovman Powell,Middle order Batter,30y 285d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65291.png
West Indies,Shai Hope,Wicketkeeper Batter,30y 175d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63797.png
West Indies,Shamar Joseph,Bowler,24y 246d,Left hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/101907.png
West Indies,Sherfane Rutherford,Middle order Batter,25y 262d,Left hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67285.png
West Indies,Shimron Hetmyer,Middle order Batter,27y 129d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64861.png
