team,name,role,age,batting_style,bowling_style,image_url
Ireland,Harry Tector,Middle order Batter,24y 153d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66085.png
Ireland,Josh Little,Bowler,24y 188d,Right hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66081.png
Ireland,Lorcan Tucker,Wicketkeeper Batter,27y 240d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66087.png
Ireland,Mark Adair,Bowling Allrounder,28y 41d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65690.png
Ireland,Neil Rock,Wicketkeeper Batter,23y 226d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68088.png
Ireland,Paul Stirling,Batting Allrounder,33y 247d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4476.png
Ireland,Ross Adair,Top order Batter,30y 16d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/80575.png
Namibia,Ben Shikongo,Bowler,24y 2d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67973.png
Namibia,Bernard Scholtz,Bowler,33y 220d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59032.png
Namibia,David Wiese,Allrounder,38y 358d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/45853.png
Namibia,Dylan Leicher,Middle order Batter,20y 7d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/92247.png
Namibia,Gerhard Erasmus,Allrounder,29y 29d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329755.1.png"
Namibia,Jack Brassell,Bowler,19y 40d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/109224.png
Namibia,Jan Frylinck,Allrounder,30y 34d,Left hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57688.png
Namibia,JJ Smit,Bowling Allrounder,28y 182d,Right hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57715.png
Namibia,JP Kotze,Batter,30y 17d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63787.png
Namibia,Malan Kruger,Batter,29y 28d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63175.png
Namibia,Michael van Lingen,Bowling Allrounder,26y 199d,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65992.png
Namibia,Nikolaas Davin,Batter,26y 143d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65757.png
Namibia,Peter-Daniel Blignaut,Bowler,18y 202d,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/382000/382049.1.jpg"
Namibia,Ruben Trumpelmann,Bowler,26y 99d,Right hand Bat,Left arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67897.png
Namibia,Tangeni Lungameni,Bowler,32y 23d,Right hand Bat,Left arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66039.png
